"Sample","gen_specnm2","SQm","dlat","dlon","eval1","SQmean"
"1",537,"E. lucius",0.000250992786257412,59.2523523,10.3208257,"above zero",0.000250992786257412
"2",537,"S. trutta",0,59.2523523,10.3208257,"zero",0
"3",538,"E. lucius",0.000267006998824265,59.2523523,10.3208257,"above zero",0.000267006998824265
"4",538,"S. trutta",0,59.2523523,10.3208257,"zero",0
"5",539,"E. lucius",0.000654562410673942,59.2523523,10.3208257,"above zero",0.000654562410673942
"6",539,"S. trutta",0,59.2523523,10.3208257,"zero",0
"7",540,"E. lucius",0.00295908523800857,59.2346192,10.3202332,"above zero",0.00295908523800857
"8",540,"S. trutta",0,59.2346192,10.3202332,"zero",0
"9",541,"E. lucius",0.0028652557613023,59.2346192,10.3202332,"above zero",0.0028652557613023
"10",541,"S. trutta",0,59.2346192,10.3202332,"zero",0
"11",542,"E. lucius",0.000652038300153824,59.2346192,10.3202332,"above zero",0.000652038300153824
"12",542,"S. trutta",0,59.2346192,10.3202332,"zero",0
"13",543,"E. lucius",0.00118285991904514,59.2523911,10.3321997,"above zero",0.00118285991904514
"14",543,"S. trutta",0.000380518823842294,59.2523911,10.3321997,"above zero",0.000380518823842294
"15",544,"E. lucius",0.000917287803222209,59.2523911,10.3321997,"above zero",0.000917287803222209
"16",544,"S. trutta",0.00062156185152929,59.2523911,10.3321997,"above zero",0.00062156185152929
"17",545,"E. lucius",0.000726933893589801,59.2523911,10.3321997,"above zero",0.000726933893589801
"18",545,"S. trutta",0.000181816085502957,59.2523911,10.3321997,"above zero",0.000181816085502957
"19",546,"E. lucius",0.000760117469732081,59.2418512,10.3319709,"above zero",0.000760117469732081
"20",546,"S. trutta",0.00257266253996223,59.2418512,10.3319709,"above zero",0.00257266253996223
"21",547,"E. lucius",0.00045037277221884,59.2418512,10.3319709,"above zero",0.00045037277221884
"22",547,"S. trutta",0.00234360963787337,59.2418512,10.3319709,"above zero",0.00234360963787337
"23",548,"E. lucius",0.000318254859996893,59.2418512,10.3319709,"above zero",0.000318254859996893
"24",548,"S. trutta",0.00263420012640686,59.2418512,10.3319709,"above zero",0.00263420012640686
"25",549,"E. lucius",5.84158700300063e-05,59.1058,10.20518,"above zero",5.84158700300063e-05
"26",549,"S. trutta",0.00141901886183539,59.1058,10.20518,"above zero",0.00141901886183539
"27",550,"E. lucius",3.48490795531547e-05,59.1058,10.20518,"above zero",3.48490795531547e-05
"28",550,"S. trutta",0.00208230823808509,59.1058,10.20518,"above zero",0.00208230823808509
"29",551,"E. lucius",0,59.1058,10.20518,"zero",0
"30",551,"S. trutta",0.00214740693217387,59.1058,10.20518,"above zero",0.00214740693217387
"31",552,"E. lucius",8.05247915248538e-05,59.10554,10.20091,"above zero",8.05247915248538e-05
"32",552,"S. trutta",0.00982528303123332,59.10554,10.20091,"above zero",0.00982528303123332
"33",553,"E. lucius",0.000117565347693357,59.10554,10.20091,"above zero",0.000117565347693357
"34",553,"S. trutta",0.00997335740131724,59.10554,10.20091,"above zero",0.00997335740131724
"35",554,"E. lucius",7.8586126704833e-05,59.10554,10.20091,"above zero",7.8586126704833e-05
"36",554,"S. trutta",0.00762278399633032,59.10554,10.20091,"above zero",0.00762278399633032
"37",555,"E. lucius",0,59.09477,10.20301,"zero",0
"38",555,"S. trutta",0.00268920994656132,59.09477,10.20301,"above zero",0.00268920994656132
"39",556,"E. lucius",0,59.09477,10.20301,"zero",0
"40",556,"S. trutta",0.00148203956717276,59.09477,10.20301,"above zero",0.00148203956717276
"41",557,"E. lucius",0,59.09477,10.20301,"zero",0
"42",557,"S. trutta",0.00296419405400836,59.09477,10.20301,"above zero",0.00296419405400836
"43",558,"E. lucius",0,59.07343,10.1841,"zero",0
"44",558,"S. trutta",0.00134607007640614,59.07343,10.1841,"above zero",0.00134607007640614
"45",559,"E. lucius",0,59.07343,10.1841,"zero",0
"46",559,"S. trutta",0.00103994766683122,59.07343,10.1841,"above zero",0.00103994766683122
"47",560,"E. lucius",0,59.07343,10.1841,"zero",0
"48",560,"S. trutta",0.00109195358319952,59.07343,10.1841,"above zero",0.00109195358319952
"49",561,"E. lucius",0.000100520141643383,59.07989,10.20241,"above zero",0.000100520141643383
"50",561,"S. trutta",0.0027555786830105,59.07989,10.20241,"above zero",0.0027555786830105
"51",562,"E. lucius",0,59.07989,10.20241,"zero",0
"52",562,"S. trutta",0.00215257389898818,59.07989,10.20241,"above zero",0.00215257389898818
"53",563,"E. lucius",0,59.07989,10.20241,"zero",0
"54",563,"S. trutta",0.00168683785612911,59.07989,10.20241,"above zero",0.00168683785612911
"55",564,"E. lucius",0.000202529729978096,59.07941,10.20259,"above zero",0.000202529729978096
"56",564,"S. trutta",0.000128153161718432,59.07941,10.20259,"above zero",0.000128153161718432
"57",565,"E. lucius",0,59.07941,10.20259,"zero",0
"58",565,"S. trutta",0.000216255281753788,59.07941,10.20259,"above zero",0.000216255281753788
"59",566,"E. lucius",0,59.07941,10.20259,"zero",0
"60",566,"S. trutta",0.000230510781028963,59.07941,10.20259,"above zero",0.000230510781028963
